File Name,Summary
java.lang.model.yml,"['java.lang', 'Exception', False, 'Exception', '(String,Throwable)', '', 'Argument[1]', 'Argument[this].SyntheticField[java.lang.Throwable.cause]', 'value', 'manual']"
java.lang.model.yml,"['java.lang', 'Exception', False, 'Exception', '(Throwable)', '', 'Argument[0]', 'Argument[this].SyntheticField[java.lang.Throwable.cause]', 'value', 'df-manual']"
java.lang.model.yml,"['java.lang', 'Exception', False, 'Exception', '(Throwable)', '', 'Argument[0].SyntheticField[java.lang.Throwable.message]', 'Argument[this].SyntheticField[java.lang.Throwable.message]', 'taint', 'df-manual']"
java.lang.model.yml,"['java.lang', 'IllegalArgumentException', False, 'IllegalArgumentException', '(String)', '', 'Argument[0]', 'Argument[this].SyntheticField[java.lang.Throwable.message]', 'value', 'manual']"
java.lang.model.yml,"['java.lang', 'IllegalStateException', False, 'IllegalStateException', '(String)', '', 'Argument[0]', 'Argument[this].SyntheticField[java.lang.Throwable.message]', 'value', 'manual']"
java.lang.model.yml,"['java.lang', 'IndexOutOfBoundsException', False, 'IndexOutOfBoundsException', '(String)', '', 'Argument[0]', 'Argument[this].SyntheticField[java.lang.Throwable.message]', 'value', 'manual']"
java.lang.model.yml,"['java.lang', 'Iterable', True, 'forEach', '(Consumer)', '', 'Argument[this].Element', 'Argument[0].Parameter[0]', 'value', 'manual']"
java.lang.model.yml,"['java.lang', 'Iterable', True, 'iterator', '()', '', 'Argument[this].Element', 'ReturnValue.Element', 'value', 'manual']"
java.lang.model.yml,"['java.lang', 'Iterable', True, 'spliterator', '()', '', 'Argument[this].Element', 'ReturnValue.Element', 'value', 'manual']"
java.lang.model.yml,"['java.lang', 'NullPointerException', False, 'NullPointerException', '(String)', '', 'Argument[0]', 'Argument[this].SyntheticField[java.lang.Throwable.message]', 'value', 'manual']"
java.lang.model.yml,"['java.lang', 'RuntimeException', False, 'RuntimeException', '(String)', '', 'Argument[0]', 'Argument[this].SyntheticField[java.lang.Throwable.message]', 'value', 'manual']"
java.lang.model.yml,"['java.lang', 'RuntimeException', False, 'RuntimeException', '(String,Throwable)', '', 'Argument[0]', 'Argument[this].SyntheticField[java.lang.Throwable.message]', 'value', 'manual']"
java.lang.model.yml,"['java.lang', 'RuntimeException', False, 'RuntimeException', '(String,Throwable)', '', 'Argument[1]', 'Argument[this].SyntheticField[java.lang.Throwable.cause]', 'value', 'manual']"
java.lang.model.yml,"['java.lang', 'RuntimeException', False, 'RuntimeException', '(Throwable)', '', 'Argument[0]', 'Argument[this].SyntheticField[java.lang.Throwable.cause]', 'value', 'manual']"
